Species_Name,# papers PCR pos,# papers PCR neg (whether seropos or seroneg),# papers isolated,tiplabel,gen,fam,Notes regarding IUCN status,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,,Rodents,superres,Flag,Zdiv,MSW05_Order,MSW05_Genus,MSW05_Species,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,References,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,WOS_HITS,Production,postnatGR,RelAgeSexMat,RelAgeBirth,logNeoBM,Abrocomidae,Anomaluridae,Aplodontiidae,Bathyergidae,Calomyscidae,Capromyidae,Castoridae,Caviidae,Chinchillidae,Cricetidae,Ctenodactylidae,Ctenomyidae,Cuniculidae,Dasyproctidae,Dinomyidae,Dipodidae,Echimyidae,Erethizontidae,Geomyidae,Gliridae,Heptaxodontidae,Heteromyidae,Hystricidae,Muridae,Myocastoridae,Nesomyidae,Octodontidae,Pedetidae,Petromuridae,Platacanthomyidae,Sciuridae,Spalacidae,Thryonomyidae,MammRich,SpeciesDensity
Abrothrix_olivaceus,,5,,Abrothrix_olivaceus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,used to be Akodon olivaceus,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_olivaceus,5,0,sampled,PC12_Cricetidae,19,Abrothrix_olivaceus,0,1,1,Rodentia,Abrothrix,olivaceus,2,3.199489111,96.69,NA,NA,49.19,27,7,NA,NA,3,0.000448,-7.675626006,NA,5.34,2,12,NA,8.07458992,NA,5.138031237,NA,NA,2,2,NA,NA,NA,730;890;1025;1114;1130;1297;1449;1473;1492;1822;1829;2006;2008;2242;2655,NA,NA,NA,NA,13.72722503,-18.48,-55.72,-37.1,-64.97,-75.26,-70.11,0,2.783157674,0,0.11,55.26,69.56,360.79,637.81,3.63758616,NA,NA,0.473277778,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,-3.957336709
Abrothrix_sanborni,,,,Abrothrix_sanborni_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_sanborni,2,0,sampled,PC12_Cricetidae,20,Abrothrix_sanborni,0,0,0,Rodentia,Abrothrix,sanborni,2,3.206803244,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,890;2008;2655,NA,NA,NA,NA,9.816577443,-40.43,-43.29,-41.86,-71.97,-74.09,-73.03,1,2.542389085,1,0.07,133.02,78.92,686.74,730.21,1.609437912,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-2.650501558
Aegialomys_galapagoensis,,,,Aegialomys_galapagoensis_CRICETIDAE_RODENTIA,Aegialomys,CRICETIDAE,used to be Oryzomys galapagoensis,RODENTIA,Mouse-related,Euarchontoglires,NA,2,0,sampled,PC12_Cricetidae,1423,Oryzomys_galapagoensis,0,0,0,Rodentia,Oryzomys,galapagoensis,NA,4.151197374,112.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,7.736307097,NA,NA,NA,NA,NA,NA,NA,NA,NA,641,NA,NA,NA,NA,3.149740086,-0.79,-0.83,-0.81,-90.02,-90.08,-90.05,4,1.609437912,4,0.33,NA,NA,NA,NA,1.098612289,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Aegialomys_xanthaeolus,,,,Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA,Aegialomys,CRICETIDAE,used to be O. xanthaeolus,RODENTIA,Mouse-related,Euarchontoglires,NA,4,0,sampled,PC12_Cricetidae,1451,Oryzomys_xanthaeolus,0,0,0,Rodentia,Oryzomys,xanthaeolus,NA,4.379398183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,12.66790895,-0.3,-16.53,-8.42,-71.05,-81.35,-76.2,0,4.117898315,4,0.08,51.73,120.08,681.25,1354.05,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Aepeomys_lugens,,,,Aepeomys_lugens_CRICETIDAE_RODENTIA,Aepeomys,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Aepeomys_lugens,1,0,sampled,PC12_Cricetidae,43,Aepeomys_lugens,0,0,0,Rodentia,Aepeomys,lugens,NA,3.610917913,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2151;2655,NA,NA,NA,NA,11.3344248,9.49,1.39,5.44,-69.76,-76.35,-73.05,2,4.347693956,5,0.09,104.03,191.5,1406.36,1535.31,1.098612289,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,-2.594098542
Aepeomys_reigi,,,,Aepeomys_reigi_CRICETIDAE_RODENTIA,Aepeomys,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Aepeomys_reigi,0,0,imputed,PC12_Cricetidae,44,Aepeomys_reigi,0,0,0,Rodentia,Aepeomys,reigi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,NA
Akodon_aerosus,,,,Akodon_aerosus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_aerosus,5,0,sampled,PC12_Cricetidae,57,Akodon_aerosus,0,0,0,Rodentia,Akodon,aerosus,NA,4.094177882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,11.98791353,-1.49,-16.2,-8.85,-67.65,-78.17,-72.91,1,2.406043801,1,0.11,200.29,194.43,1341.01,1442.62,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,-2.608589508
Akodon_affinis,,,,Akodon_affinis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_affinis,1,0,sampled,PC12_Cricetidae,58,Akodon_affinis,0,0,0,Rodentia,Akodon,affinis,2,3.214466116,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2151;2655,NA,NA,NA,NA,10.91744568,10.29,0.89,5.59,-75.01,-77.82,-76.41,7,4.633271616,11,0.11,202.1,210.03,1499.05,1626.2,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,-2.328086653
Akodon_albiventer,,,,Akodon_albiventer_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_albiventer,2,0,sampled,PC12_Cricetidae,59,Akodon_albiventer,0,0,0,Rodentia,Akodon,albiventer,3,3.25617161,NA,NA,NA,46.5,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,890;1822;2655,NA,NA,NA,NA,12.96185701,-15.25,-26.78,-21.02,-64.2,-71.33,-67.76,0,2.650421088,0,0.06,43.02,31.73,511.33,1260.37,1.098612289,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,-3.30704368
Akodon_aliquantulus,,,,Akodon_aliquantulus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,Aka A. caenosus ,RODENTIA,Mouse-related,Euarchontoglires,Akodon_aliquantulus,0,0,imputed,PC12_Cricetidae,60,Akodon_aliquantulus,0,0,0,Rodentia,Akodon,aliquantulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693147181,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,NA
Akodon_azarae,3,3,,Akodon_azarae_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_azarae,2,0,sampled,PC12_Cricetidae,61,Akodon_azarae,0,1,1,Rodentia,Akodon,azarae,2,3.229617921,NA,NA,NA,39.95,23.5,4,NA,3.135494216,2,NA,NA,NA,4.59,1.25,NA,NA,8.946329252,NA,4.12503541,NA,NA,1,2,14.44,NA,NA,730;890;896;1297;1822;1849;2034;2655,NA,NA,NA,NA,13.88432491,-20.62,-38.69,-29.65,-53.53,-67.94,-60.74,0,3.360375387,1,0.07,76.67,177.53,877.56,1078.08,4.941642423,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,-3.699471921
Akodon_bogotensis,,,,Akodon_bogotensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,2015/2013 changed to Neomicroxus bogotensis,RODENTIA,Mouse-related,Euarchontoglires,Akodon_bogotensis,0,0,imputed,PC12_Cricetidae,62,Akodon_bogotensis,0,0,0,Rodentia,Akodon,bogotensis,NA,2.564179831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,11.67205106,10.03,2.08,6.06,-69.82,-75.42,-72.62,2,4.314282983,5,0.09,109.88,201.66,1394.45,1555.13,1.098612289,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,-2.60521438
Akodon_boliviensis,,,,Akodon_boliviensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_boliviensis,5,0,sampled,PC12_Cricetidae,63,Akodon_boliviensis,0,0,0,Rodentia,Akodon,boliviensis,2,3.314186005,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,890;1297;2655,NA,NA,NA,NA,13.18100139,-12.06,-29.36,-20.71,-63.19,-75.04,-69.11,0,2.865623588,1,0.08,80.06,97.74,783.36,1337.88,2.63905733,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,-3.288273521
Akodon_budini,,,,Akodon_budini_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_budini,1,0,sampled,PC12_Cricetidae,64,Akodon_budini,0,0,0,Rodentia,Akodon,budini,NA,3.292126287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,9.919187166,-22.15,-24.75,-23.45,-65.46,-66.7,-66.08,0,1.541159072,0,0.15,40.9,-11.27,582.44,1257.52,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,-2.210938238
Akodon_caenosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akodon_cursor,1,,,Akodon_cursor_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_cursor,5,0,sampled,PC12_Cricetidae,65,Akodon_cursor,0,1,1,Rodentia,Akodon,cursor,1,3.684871433,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6.093298853,NA,NA,NA,NA,1,2,NA,NA,NA,730;890;905;2655,NA,NA,NA,NA,14.18727,-15.07,-29.44,-22.26,-41.26,-61.47,-51.37,0,4.26955758,0,0.06,123.19,205.84,1156.24,1307.89,3.931825633,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-3.684331819
Akodon_dayi,,,,Akodon_dayi_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_dayi,2,0,sampled,PC12_Cricetidae,66,Akodon_dayi,0,0,0,Rodentia,Akodon,dayi,1,3.48093235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905;2655,NA,NA,NA,NA,12.58081425,-10.54,-18.8,-14.67,-62.35,-68.85,-65.6,0,2.614471854,0,0.2,95.97,208.81,1245.51,1479.63,0.693147181,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,-2.946582309
Akodon_dolores,,,,Akodon_dolores_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_dolores,3,0,sampled,PC12_Cricetidae,67,Akodon_dolores,0,0,0,Rodentia,Akodon,dolores,NA,3.921775297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297;2655,NA,NA,NA,NA,11.18688711,-28.45,-33.78,-31.11,-63.04,-65.84,-64.44,2,3.08282698,2,0.09,55.24,161.5,677.35,1013.7,2.833213344,NA,NA,NA,NA,0.46834733,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-2.939325247
Akodon_fumeus,,,,Akodon_fumeus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Akodon_fumeus,2,0,sampled,PC12_Cricetidae,68,Akodon_fumeus,0,0,0,Rodentia,Akodon,fumeus,NA,3.121924299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,12.08014178,-13.25,-22.46,-17.86,-63.17,-70.47,-66.82,1,3.024805521,1,0.11,103.06,153.05,1030.19,1433.39,0.693147181,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,-2.749409268
